text@bvk1982m	@bvk1982m	2.14	7.268	в вашей судьбе случались моменты когда вам очень не хватало человека?
text@bvk1982m	@bvk1982m	7.268	8.86	 например / недавно когда вы
text@bvk1982m	@bvk1982m	10.892	12.387	пережили серьезную болезнь
text@bvk1982m	@bvk1982m	42.692	45.03	а почему из-за этой опухоли вы сказали стали трусом?
text@bvk1982m	@bvk1982m	130.428	136.629	Анатолий Александрович / я правильно понимаю вы сегодня к маме на могилу поехать не можете она похоронена там на Украине?
text@bvk1982m	@bvk1982m	152.768	160.012	поэтому / в том числе и поэтому вы сегодня в списках запрещенных ааа на въезд ааа на Украину людей?
text@bvk1982m	@bvk1982m	195.888	200.333	вы ааа когда случился Майдан даже гражданство поменяли
text@bvk1982m	@bvk1982m	292.222	294.388	ааа / ваш папа жив?
text@bvk1982m	@bvk1982m	320.665	321.833	а вы видитесь с отцом?
text@bvk1982m	@bvk1982m	343.666	351.578	как думаете настанет м момент когда вы сможете приехать на родину к себе в эээ в Одессу? спокойно // к маме на могилу к папе / в свой дом
text@bvk1982m	@bvk1982m	370.801	379.197	вам уже много лет Анатолий Александрович / скоро семьдесят / вы думаете о наследстве о завещании кому вы все оставите?
text@bvk1982m	@bvk1982m	406.028	420.64	а если бы вы могли написать нет не завещание а письмо самому себе / в прошлое что бы вы нынешний завещали поосветовали бы вот этому молодому человеку который в самом начале своего пути и еще совсем без бороды?
text@aaw1952m	@aav1952m	13.291	42.215	нууу / как вам сказать // серьезная была не болезнь а ее название // у меня / было несколько / сосудистых опухолей // кстати одна из них / обнаружилась практически сразу после рождения / и именно из-за нее я стал трусом // но вот здесь есть сплетение / сосудиков / которое
text@aaw1952m	@aav1952m	45.178	129.571	вот если оно лопнет кровотечение может быть смертельно опасным / поэтому / я с раннего детства боюсь / ударов в нос / ну а поскольку в драке / ыыы предотвратить такие удары практически невозможно / я соответственно избегал драк да и сейчас / стараюсь / их избегать // все мои опухоли до сих пор / были совершенно доброкачественные и сосудистые и жировые то есть они не проявляли склонности разрастаться // кроме того даже злокачественные опухоли / если выявлены достаточно рано / то / ыыы с ними уже давно научились справляться ну / у мое... моей маме / удалили / лет пятнадцать назад опухоль в легком / злокачественную но удалили чисто / ыыы последующая химиотерапия гарантировала что метастазов нет / она правда умерла но умерла по совершенно иным причинам никак не связанным с онкологией / от третьего уже / инсульта
text@aaw1952m	@aav1952m	137.158	148.78	да она похоронена в Одессе // ну / Украина оккупировала Одессу в двадцатом году и я ей эту оккупацию не простил и не прощу
text@aaw1952m	@aav1952m	161.085	166.623	нет / в официальных списках запрещенных меня нету // 
text@aaw1952m	@aav1952m	166.623	195.666	я нахожусь во-первых в так называемом списке Миротворец / во-вторых еще до подпадания в этот самый Миротворец достаточно многие / ыыы совершенно искренне и совершенно убежденно желали мне смерти / причем желали настолько пламенно что ооо скорее всего до конца Украины я своей смерти я не помру 
text@aaw1952m	@aav1952m	200.749	227.222	ну / гражданство я поменял несколько позже // я / награжден гражданством Российской Федерации указом президента двадцать седьмого января две тысячи шестнадцатого года именно награжден поскольку гражданство я получил по пункту три статьи тринадцать за особые заслуги перед Российской Федерацией
text@aaw1952m	@aav1952m	231.999	291.0	вот / но а почему я ааа решил перейти ыыы из гражданства Украины в гражданство Российской Федерации // начиная с девяносто первого года и по сей день я выступаю за воссоединение Украины с остальной Россией / а / учитывая что / ааа Украина в любой момент могла подать / ааа заявление о моем розыске / ааа / в сентябре пятнадцатого года возбудили даже против меня официальное уголовное дело по обвинению в сепаратизме / так вот гражданство Российской Федерации помимо прочего страхует меня от / ордера / на / арест со стороны Украины
text@aaw1952m	@aav1952m	295.722	319.888	папа жив / работает / ааа он / ааа с пятьдесят шестого года работает в Одесском водном институте / в восемьдесят первом году всесоюзная высшая аттестационная комиссия ааа утвердила его докторскую диссертацию он еще и преподает
text@aaw1952m	@aav1952m	323.665	342.333	видимся // и по скайпу почти ежедневно и живьем / раз в год // у него / ну раньше я ездил в Одессу и встречались чаще теперь он ездит в Москву
text@aaw1952m	@aav1952m	349.666	351.663	я над этим раб... / 
text@aaw1952m	@aav1952m	351.673	370.109	я над этим работаю // с моей точки зрения // с моей точки зрения // воссоединение Украины с остальной Россией необходимость а необходимость рано или поздно найдет себе возможность
text@aaw1952m	@aav1952m	381.153	404.549	а что оставлять? // ааа / вообщем-то / ааа особо немного имущества разве что квартира / хорошая // в данном случае / наследники по закону это именно те кому бы я и своей волей все отдал
text@aaw1952m	@aav1952m	415.983	416.452	вы знаете//
text@aaw1952m	@aav1952m	421.44	454.989	я бы мог / посоветовать только / быть более уверенным в себе / и знать / что / ааа при / должном умении и терпении все получается и я бы / наверное не давал конкретных советов способных существенно изменить его жизнь / просто потому что меня нынешнего впринципе устраивает то что получилось
words@bvk1982m	@bvk1982m	2.14	2.378	в
words@bvk1982m	@bvk1982m	2.378	2.712	вашей
words@bvk1982m	@bvk1982m	2.712	3.046	судьбе
words@bvk1982m	@bvk1982m	3.046	3.49	случались
words@bvk1982m	@bvk1982m	3.49	3.766	моменты
words@bvk1982m	@bvk1982m	3.766	4.042	/
words@bvk1982m	@bvk1982m	4.042	4.414	когда
words@bvk1982m	@bvk1982m	4.414	4.637	вам
words@bvk1982m	@bvk1982m	4.637	5.006	очень
words@bvk1982m	@bvk1982m	5.006	5.093	не
words@bvk1982m	@bvk1982m	5.093	5.867	хватало
words@bvk1982m	@bvk1982m	5.867	6.703	человека
words@bvk1982m	@bvk1982m	6.703	7.268	?
words@bvk1982m	@bvk1982m	7.268	7.835	например
words@bvk1982m	@bvk1982m	7.835	8.26	недавно
words@bvk1982m	@bvk1982m	8.26	8.7	когда
words@bvk1982m	@bvk1982m	8.7	8.86	вы
words@bvk1982m	@bvk1982m	10.892	11.39	пережили
words@bvk1982m	@bvk1982m	11.39	11.888	серьезную
words@bvk1982m	@bvk1982m	11.888	12.387	болезнь
words@bvk1982m	@bvk1982m	42.692	42.872	а
words@bvk1982m	@bvk1982m	42.872	43.13	почему
words@bvk1982m	@bvk1982m	43.13	43.41	из-за
words@bvk1982m	@bvk1982m	43.41	43.68	этой
words@bvk1982m	@bvk1982m	43.68	44.029	опухоли
words@bvk1982m	@bvk1982m	44.029	44.188	вы
words@bvk1982m	@bvk1982m	44.188	44.468	сказали
words@bvk1982m	@bvk1982m	44.468	44.731	стали
words@bvk1982m	@bvk1982m	44.731	44.986	трусом
words@bvk1982m	@bvk1982m	44.986	45.03	?
words@bvk1982m	@bvk1982m	130.428	130.837	Анатолий
words@bvk1982m	@bvk1982m	130.837	131.506	Александрович
words@bvk1982m	@bvk1982m	131.506	132.175	/
words@bvk1982m	@bvk1982m	132.175	132.409	я
words@bvk1982m	@bvk1982m	132.409	132.655	правильно
words@bvk1982m	@bvk1982m	132.655	132.857	понимаю
words@bvk1982m	@bvk1982m	132.857	132.974	вы
words@bvk1982m	@bvk1982m	132.974	133.376	сегодня
words@bvk1982m	@bvk1982m	133.376	133.487	к
words@bvk1982m	@bvk1982m	133.487	133.779	маме
words@bvk1982m	@bvk1982m	133.779	133.935	на
words@bvk1982m	@bvk1982m	133.935	134.357	могилу
words@bvk1982m	@bvk1982m	134.357	134.759	поехать
words@bvk1982m	@bvk1982m	134.759	134.837	не
words@bvk1982m	@bvk1982m	134.837	135.162	можете
words@bvk1982m	@bvk1982m	135.162	135.331	она
words@bvk1982m	@bvk1982m	135.331	135.792	похоронена
words@bvk1982m	@bvk1982m	135.792	136.168	там
words@bvk1982m	@bvk1982m	136.168	136.305	на
words@bvk1982m	@bvk1982m	136.305	136.467	Украине
words@bvk1982m	@bvk1982m	136.467	136.629	?
words@bvk1982m	@bvk1982m	152.768	153.493	поэтому
words@bvk1982m	@bvk1982m	153.493	153.766	/
words@bvk1982m	@bvk1982m	153.766	153.954	в
words@bvk1982m	@bvk1982m	153.954	154.233	том
words@bvk1982m	@bvk1982m	154.233	154.428	числе
words@bvk1982m	@bvk1982m	154.428	154.551	и
words@bvk1982m	@bvk1982m	154.551	155.188	поэтому
words@bvk1982m	@bvk1982m	155.188	155.391	вы
words@bvk1982m	@bvk1982m	155.391	155.811	сегодня
words@bvk1982m	@bvk1982m	155.811	155.915	в
words@bvk1982m	@bvk1982m	155.915	156.558	списках
words@bvk1982m	@bvk1982m	156.558	157.577	запрещенных
words@bvk1982m	@bvk1982m	157.577	158.09	ааа
words@bvk1982m	@bvk1982m	158.09	158.318	на
words@bvk1982m	@bvk1982m	158.318	158.766	въезд
words@bvk1982m	@bvk1982m	158.766	159.142	ааа
words@bvk1982m	@bvk1982m	159.142	159.324	на
words@bvk1982m	@bvk1982m	159.324	159.72	Украину
words@bvk1982m	@bvk1982m	159.72	159.866	людей
words@bvk1982m	@bvk1982m	159.866	160.012	?
words@bvk1982m	@bvk1982m	195.888	196.374	вы
words@bvk1982m	@bvk1982m	196.374	196.86	ааа
words@bvk1982m	@bvk1982m	196.86	197.346	когда
words@bvk1982m	@bvk1982m	197.346	197.832	случился
words@bvk1982m	@bvk1982m	197.832	198.318	Майдан
words@bvk1982m	@bvk1982m	198.318	198.688	даже
words@bvk1982m	@bvk1982m	198.688	199.337	гражданство
words@bvk1982m	@bvk1982m	199.337	200.333	поменяли
words@bvk1982m	@bvk1982m	292.222	292.857	ааа
words@bvk1982m	@bvk1982m	292.857	293.493	/
words@bvk1982m	@bvk1982m	293.493	293.896	ваш
words@bvk1982m	@bvk1982m	293.896	294.181	папа
words@bvk1982m	@bvk1982m	294.181	294.284	жив
